"BUSI_DT","Eng_Prefix","Full_Name","Thai_Prefix","First_Name","Surname","Bank_Name","Position"
"2026-01-15","Mr.","นายจงรัก รัตนเพียร","นาย","จงรัก","รัตนเพียร","ธนาคารกสิกรไทย","ผู้จัดการใหญ่"
"2026-01-15","Mr.","นายรุ่งเรือง สุขเกิดกิจพิบูลย์","นาย","รุ่งเรือง","สุขเกิดกิจพิบูลย์","ธนาคารกสิกรไทย","ผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางรุ่งเรือง สุขเกิดกิจพิบูลย์","นาง","รุ่งเรือง","สุขเกิดกิจพิบูลย์","ธนาคารกสิกรไทย","ผู้จัดการใหญ่"
"2026-01-15","Mr.","นายปิยะพงศ์ แสงภัทราชัย","นาย","ปิยะพงศ์","แสงภัทราชัย","ธนาคารกสิกรไทย","ผู้บริหารกลุ่มธุรกิจผลิตภัณฑ์ตลาดทุน"
"2026-01-15","Ms.","นางสาวพรวิภา ตั้งตรงจิตร","นางสาว","พรวิภา","ตั้งตรงจิตร","ธนาคารกสิกรไทย","ผู้บริหารกลุ่มธุรกิจวาณิชธนกิจ"
"2026-01-15","Mr.","นายสาวิตร ศรีศรันยพงศ์","นาย","สาวิตร","ศรีศรันยพงศ์","ธนาคารกสิกรไทย","ผู้บริหารกลุ่มธุรกิจวาณิชธนกิจ"
"2026-01-15","Mr.","นายธิติ ตันติกุลานันท์","นาย","ธิติ","ตันติกุลานันท์","ธนาคารกสิกรไทย","ผู้บริหารสายงาน"
"2026-01-15","Mr.","นายพงศ์ศักดิ์ พฤกษ์ไพศาล","นาย","พงศ์ศักดิ์","พฤกษ์ไพศาล","ธนาคารกสิกรไทย","ผู้บริหารสายงาน"
"2026-01-15","Mr.","นายพงศกร ล่ำซำ","นาย","พงศกร","ล่ำซำ","ธนาคารกสิกรไทย","Private Banking Business Head"
"2026-01-15","Dr.","ดร.ตรีพล ภูมิวสนะ","ดร.","ตรีพล","ภูมิวสนะ","ธนาคารกสิกรไทย","Private Banking Business Head"
"2026-01-15","Ms.","นางสาวศิริพร สุวรรณการ","นางสาว","ศิริพร","สุวรรณการ","ธนาคารกสิกรไทย","Investment Strategy Head"
"2026-01-15","Mr.","นายพีระพัฒน์ เหรียญประยูร","นาย","พีระพัฒน์","เหรียญประยูร","ธนาคารกสิกรไทย","Family Wealth Solution Head"
"2026-01-15","Mrs.","นางปกเกศ วงศกิตติรักษ์","นาง","ปกเกศ","วงศกิตติรักษ์","ธนาคารกสิกรไทย","Corporate Legal Counsel"
"2026-01-15","Mr.","นายสุวัฒน์ วงศกิตติรักษ์","นาย","สุวัฒน์","วงศกิตติรักษ์","ธนาคารกสิกรไทย","Corporate Legal Counsel"
"Source_URL:","https://www.kasikornbank.com/th/about/Pages/executives.aspx","","","","","",""
